BOOK_ID,IMAGE_ID,BOOK_PATH
BK047,3,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/harry_potter_and_the_order_of_the_phoenix___ravenclaw_edition/2022_04_20_15_11_01_2-390x510.jpg
BK047,4,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/harry_potter_and_the_order_of_the_phoenix___ravenclaw_edition/2022_04_20_15_11_01_3-390x510.jpg
BK047,5,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/harry_potter_and_the_order_of_the_phoenix___ravenclaw_edition/2022_04_20_15_11_01_4-390x510.jpg
BK047,6,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/harry_potter_and_the_order_of_the_phoenix___ravenclaw_edition/2022_04_20_15_11_01_5-390x510.jpg
BK048,1,https://cdn0.fahasa.com/media/catalog/product/9/7/9781909263789.jpg
BK048,2,https://cdn0.fahasa.com/media/catalog/product/h/i/hildafolk_1_hilda_and_the_troll_1_2022_08_25_13_40_16.jpg
BK048,3,https://cdn0.fahasa.com/media/catalog/product/h/i/hildafolk_1_hilda_and_the_troll_2_2022_08_25_13_40_16.jpg
BK048,4,https://cdn0.fahasa.com/media/catalog/product/h/i/hildafolk_1_hilda_and_the_troll_3_2022_08_25_13_40_16.jpg
BK048,5,https://cdn0.fahasa.com/media/catalog/product/h/i/hildafolk_1_hilda_and_the_troll_4_2022_08_25_13_40_16.jpg
BK048,6,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/hildafolk_1_hilda_and_the_troll/2022_08_25_13_40_16_1-390x510.jpg
BK048,7,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/hildafolk_1_hilda_and_the_troll/2022_08_25_13_40_16_2-390x510.jpg
BK048,8,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/hildafolk_1_hilda_and_the_troll/2022_08_25_13_40_16_3-390x510.jpg
BK048,9,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/hildafolk_1_hilda_and_the_troll/2022_08_25_13_40_16_4-390x510.jpg
BK048,10,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/hildafolk_1_hilda_and_the_troll/2022_08_25_13_40_16_5-390x510.jpg
BK048,11,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/hildafolk_1_hilda_and_the_troll/2022_08_25_13_40_16_6-390x510.jpg
